"Date","ID","Kax.out","MC.out","MC2.out","pc.out","ratio.hr.out","ratio.mhr.out","Fd.hr.out","Vc.mhr.out","Vc.hr.out","Fd.mhr.out","Kax.mid","MC.mid","MC2.mid","pc.mid","ratio.hr.mid","ratio.mhr.mid","Fd.hr.mid","Vc.mhr.mid","Vc.hr.mid","Fd.mhr.mid","Kax.inn","MC.inn","MC2.inn","pc.inn","ratio.hr.inn","ratio.mhr.inn","Fd.hr.inn","Vc.mhr.inn","Vc.hr.inn","Fd.mhr.inn","Tmean","Hour","DOY"
2017-12-16 00:00:00,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,350
2017-12-16 00:15:00,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,350
2017-12-16 00:30:00,3,0.871348872865061,1.11743073533473,0.625761211787451,3288933.38769512,0.859199964598326,0.726714677832687,-5.00154534519653,-21.174058200761,-9.78555880798442,-10.8223775781232,0.951055999881234,0.776152251642951,0.434645260920053,2489686.48116766,0.831514628145283,0.821663561319517,-4.82935638917448,-12.745603116203,-11.9511897048843,-5.15037091394853,0.736042615987747,0.498328885822637,0.279064176060676,1839046.38428575,0.840506560154196,0.85997417897764,-3.56181019415694,-9.72634742974292,-11.2372490359806,-3.0829078643933,-3.28513333333333,0,350
2017-12-16 00:45:00,4,0.840709014402938,1.07318930169279,0.600986008947963,3185323.48942038,0.820527418103399,0.742272892269734,-6.3836131239036,-19.684567319395,-12.8380710704042,-9.78797060628033,0.876962991069996,0.704913833593483,0.394751746812351,2322851.80516925,0.859450614799994,0.820410924758078,-3.72831266188634,-12.8475622281279,-9.76638150477964,-4.90455230589343,0.692786826349522,0.455743887789551,0.255216577162149,1739315.72569211,0.847545318638798,0.888578229148963,-3.24425034700609,-7.58654231265591,-10.68558641947,-2.30334972403239,-3.10233333333333,0,350
2017-12-16 01:00:00,5,0.844801868270623,1.02616601939734,0.574652970862508,3075198.72414701,0.890375492971548,0.724457511392562,-3.59703392599426,-21.3941968754651,-7.45508020895928,-10.3225786743335,0.95810973579927,0.726518361487506,0.406850282433003,2373447.88113482,0.812381399514742,0.790940832914386,-5.24753980536258,-15.311205217805,-13.5063179568736,-5.94878331052596,0.753534827425826,0.470075338470378,0.263242189543412,1772878.83667055,0.83320816348577,0.879584712841336,-3.64053651207162,-8.24955233192842,-11.8159227518676,-2.54172247934542,-3.1924,1,350
2017-12-16 01:15:00,6,0.764560280002045,1.02072837314253,0.571607888959815,3062464.19162995,0.852129165594776,0.720881226370661,-4.96637612598143,-21.745153419596,-10.3296357927716,-10.4548323837764,0.89092849296111,0.705972176623411,0.39534441890911,2325330.3598779,0.862188342531107,0.848311588383057,-3.65170577040677,-10.625903286124,-9.55739910267937,-4.05996149463354,0.718938801145184,0.447406826353097,0.250547822757735,1719790.99477285,0.84911436364482,0.853758209593832,-3.17955171482987,-10.2037528755951,-10.5634545382078,-3.07128315230132,-3.34273333333333,1,350
2017-12-16 01:30:00,7,0.770517317623904,0.998211060226586,0.558998193726888,3009730.44616585,0.889444241286457,0.767233365556805,-3.56392647693741,-17.3905571255134,-7.52315480289338,-8.23838783225263,0.963685699435619,0.719159650300587,0.402729404168329,2356214.36823195,0.826301577412903,0.790820980167475,-4.77748864516857,-15.3214898497454,-12.3699552629341,-5.91742186841681,0.756421870277769,0.4544522749554,0.254493273975024,1736290.87176355,0.850524435004995,0.872331188339552,-3.16969048123256,-8.79071647667056,-10.4539553624057,-2.66538830264383,-3.5,1,350
2017-12-16 01:45:00,8,0.914715569485693,0.987153797888076,0.552806126817322,2983835.22235004,0.871828447097746,0.760900812204082,-4.15166389184485,-17.9619446879653,-8.82844179366378,-8.44678584638352,0.98564471036842,0.64295680681742,0.360055811817755,2177753.40502185,0.861709097298819,0.86053061724553,-3.4760677508014,-9.68383508148902,-9.59391840132155,-3.50864635519585,0.772685439068208,0.410570268507148,0.229919350364003,1633522.72322226,0.842707461014923,0.881618509010498,-3.20242723020343,-8.09885614370749,-11.0640840406728,-2.34416128373264,-3.675,1,350
2017-12-16 02:00:00,9,0.815372381081646,0.91669514883259,0.51334928334625,2818826.70295402,0.839512663274789,0.739192319424714,-5.0712698438956,-19.9757073941431,-11.3156497447762,-8.95239820984788,0.925312538625901,0.619652404406738,0.347005346467773,2123176.35892823,0.85089225163062,0.830942782782652,-3.7011501302884,-11.9969497590576,-10.4254325986954,-4.25905704568612,0.754187587179019,0.405412074689516,0.227030761826129,1621442.64595687,0.843544990130512,0.858560718766357,-3.16560955738893,-9.83450130562227,-10.9983487994488,-2.830624113939,-3.831,2,350
2017-12-16 02:15:00,10,0.893764806461673,0.931443359492676,0.521608281315898,2853365.83246309,0.83077989561368,0.71431943465018,-5.43799599089494,-22.3961262914929,-12.009992179359,-10.1407264189589,0.971843564039512,0.597576581592951,0.334642885692052,2071476.54796416,0.866305300779774,0.854961445551373,-3.21800353715164,-10.1109798561409,-9.24478073075069,-3.51951764879644,0.77210768716281,0.389711626090828,0.218238510610864,1584673.45137463,0.854557171796871,0.886629389706206,-2.86923151863105,-7.72947720088173,-10.1421310884453,-2.18668634963478,-3.9714,2,350
