"Date","ID","Kax.out","MC.out","MC2.out","pc.out","ratio.hr.out","ratio.mhr.out","Fd.hr.out","Vc.mhr.out","Vc.hr.out","Fd.mhr.out","Kax.mid","MC.mid","MC2.mid","pc.mid","ratio.hr.mid","ratio.mhr.mid","Fd.hr.mid","Vc.mhr.mid","Vc.hr.mid","Fd.mhr.mid","Kax.inn","MC.inn","MC2.inn","pc.inn","ratio.hr.inn","ratio.mhr.inn","Fd.hr.inn","Vc.mhr.inn","Vc.hr.inn","Fd.mhr.inn","Hour","DOY","Vc","Tmaxup","Tmaxdown"
2015-05-03 00:00:00,1,0.862540615117056,0.747179989581601,0.418420794165696,2421835.76120094,1.19622753728606,1.08050584451833,4.23409491641204,4.62959381398108,10.7191106640425,1.82870951212266,0.777092303998146,0.562659418186369,0.315089274184367,1989703.34463902,1.43393926716547,1.1689217448791,7.36062343013635,9.3326540558888,21.8326294778412,3.14639847567845,0.951091308750958,0.689709145672923,0.386237121576837,2287243.64243433,1.82348986503544,1.27770510896694,14.2512000875986,14.7029267154028,37.8034514541817,5.54273068818766,0,123,49.6978177359828,37.1082164328657,25.4028056112224
2015-05-03 00:15:00,2,0.858180258674033,0.739913461058148,0.414351538192563,2404818.1327213,1.16831151001435,1.07292735394753,3.65287501689361,4.20930630167888,9.3013434697915,1.65310203604386,0.763329853830139,0.535305931207168,0.299771321476014,1925643.66641269,1.43844285933962,1.1451702994931,7.23822636221511,8.10294770514172,22.0301102318226,2.66230940625461,0.939056728902169,0.663842554996201,0.371751830797872,2226666.1563967,1.78491855826118,1.25909004751365,13.3901540226267,13.811343287107,36.3004994741837,5.09458593001613,0,123,49.6978177359828,35.5210420841683,24.6092184368737
2015-05-03 00:30:00,3,0.877221708997292,0.73644151619932,0.412407249071619,2396687.11561751,1.17652982406035,1.12111404983352,3.80741358789918,6.83325837533613,9.72179916490003,2.67615493249578,0.771115184411718,0.523395680060014,0.293101580833608,1897750.81104615,1.55132268276413,1.25160009465457,8.72547957111862,13.4496551948268,26.8620480897338,4.36879165911036,0.950464892478844,0.666268272238433,0.373110232453522,2232346.99212063,1.8456953429773,1.26126608371835,14.2909588179005,13.9161014433026,38.6628344882635,5.14381408565206,0,123,49.6978177359828,38.496993987976,20.0460921843687
2015-05-03 00:45:00,4,0.942316616758967,0.810036643413983,0.453620520311831,2569041.01594408,1.17861967530892,1.07755114874046,4.07595554519583,4.46608553306397,9.82830178078225,1.85215782948436,0.827912453632592,0.583450370794575,0.326732207644962,2038394.09237123,1.50604881659926,1.21560483217222,8.57420745453225,11.6864541290434,24.9497754744697,4.01615165686869,1.04745669645691,0.728194567634814,0.407788957875496,2377373.42183532,2.05436575810621,1.27935265065407,18.1139183729111,14.7813456693068,46.5593006701438,5.75068965903306,0,123,49.6978177359828,37.7034068136273,26.5931863727455
2015-05-03 01:00:00,5,0.827059961371466,0.684230071565516,0.383168840076689,2274412.08920071,1.17621640730108,1.03781285922958,3.6422343940025,2.22152722678693,9.70581244636626,0.833657451895812,0.756051009413402,0.502307080503154,0.281291965081766,1848362.99797195,1.54345974125764,1.17292127071279,8.4428733130702,9.53750551205558,26.5322140729586,3.03495028871576,0.938988274012859,0.633712399801872,0.354878943889049,2156103.743344,1.8597103541399,1.21518505428813,14.0904222821599,11.6656374629516,39.2031272809917,4.19287361606153,1,123,49.6978177359828,33.1402805611222,22.0300601202405
2015-05-03 01:15:00,6,0.890177220714591,0.788855684448968,0.441759183291422,2519436.90452473,1.16294082567456,1.02623775847002,3.68292506369003,1.55085441517062,9.02514444274429,0.632863067400332,0.800132506504353,0.580087254894808,0.324848862741092,2030517.94398325,1.5633035241899,1.17008677279287,9.37462393018536,9.39239000736842,27.3628537346278,3.2178706570098,1.02953744178243,0.739479904058319,0.414108746272659,2403802.77691226,2.22289371031706,1.31912914887122,20.7073055298913,16.6516086107418,52.7454304663658,6.53724775811005,1,123,49.6978177359828,37.7034068136273,30.7595190380762
2015-05-03 01:30:00,7,0.73544681680281,0.619138500471811,0.346717560264214,2121972.83702494,1.17077763665005,1.1042720079687,3.34545544543572,5.9288832868328,9.4277884645624,2.10386719556168,0.708086653740494,0.497830591892753,0.278785131459941,1837879.41976548,1.35862346849481,1.12821472844531,5.85076989895083,7.21066883815832,18.467853186459,2.28440002005932,0.860283402379043,0.609353552819166,0.341237989578733,2099057.27241826,1.80254651275203,1.29218903614432,13.012072639097,15.3896692068751,36.9890297487908,5.41380768761793,1,123,49.6978177359828,35.3226452905812,25.0060120240481
2015-05-03 01:45:00,8,0.746071452773636,0.643767262857137,0.360509667199996,2179651.42823039,1.09299241206495,0.985258066256708,1.92733509334979,-0.891105076955097,5.31570016490573,-0.323091602874141,0.665248952900789,0.459316316968722,0.257217137502484,1747682.06903539,1.375659207946,1.18012923275225,5.86293305546486,9.90512785807974,19.2397466641311,3.0183922143844,0.814428626522571,0.573060096620771,0.320913654107632,2014060.90147812,1.63763822191015,1.25350815645766,10.3568655502713,13.5419593199819,30.4255465839675,4.6096871777548,1,123,49.6978177359828,36.5130260521042,26.5931863727455
2015-05-03 02:00:00,9,0.863555195145277,0.730729937807916,0.409208765172433,2383311.05595111,1.16158668496557,1.01588967471945,3.49119333604293,0.944397393782701,8.95532376671647,0.368169144258574,0.75837319589089,0.521821497239524,0.292220038454133,1894064.20081519,1.56694256303121,1.17429704738821,8.92384677221992,9.60782755467739,27.5145526023859,3.11612484312824,0.935616881179016,0.655072119330129,0.366840386824872,2206126.49770162,2.03585004522769,1.26855722333453,16.79398647577,14.2660684551092,45.8702594651538,5.22308274448542,2,123,49.6978177359828,34.5290581162325,24.6092184368737
2015-05-03 02:15:00,10,0.753350480798743,0.639692279939305,0.358227676766011,2170108.14423546,1.14342545346396,1.05164813319968,2.8945944892048,3.01289804556435,8.01169448232339,1.08854850849197,0.707568431000469,0.481297360127869,0.269526521671607,1799159.91363066,1.48542121602605,1.18958690777094,7.49999882170439,10.3845030508708,24.0674993772578,3.23605537179785,0.848806451447019,0.600381151283668,0.336213444718854,2078044.62581425,1.85834018735581,1.24250512716332,13.6622361810673,13.0081115275046,39.150376413952,4.53941719689566,2,123,49.6978177359828,30.9579158316633,23.0220440881764
